,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
10,AdaBoostClassifier,0.41427305227263417,0.4418367346938776,0.024237037938087357,gini,,1,random,,,0.3781855249745158,5,
317,AdaBoostClassifier,0.389374221387022,0.4396728016359918,0.036809526331412504,gini,3,5,random,,,0.327217125382263,11,
4,AdaBoostClassifier,0.41000338342875475,0.4396728016359918,0.03350737228738443,gini,,1,best,,,0.3690112130479103,9,
321,DecisionTreeClassifier,0.4106083369165005,0.4376278118609407,0.027150517201847284,,,,,,2,0.36799184505606525,,
6,AdaBoostClassifier,0.41428181268567543,0.4376278118609407,0.025149477002001937,gini,,1,best,,,0.38022426095820594,13,
310,AdaBoostClassifier,0.4171147903824857,0.4376278118609407,0.011475993991641821,gini,3,5,best,,,0.4051020408163265,13,
5,AdaBoostClassifier,0.4116254075972334,0.43673469387755104,0.02615951535353434,gini,,1,best,,,0.3781855249745158,11,
2,AdaBoostClassifier,0.40999671356882567,0.43660531697341515,0.028567623541768332,gini,,1,best,,,0.3730886850152905,5,
346,KNeighborsClassifier,0.40916078969814224,0.4336734693877551,0.018208781752403518,,,,,,,0.38328236493374107,,7
252,AdaBoostClassifier,0.3983655167475894,0.4335378323108384,0.029593386590218203,gini,3,1,random,,,0.36187563710499493,9,
191,AdaBoostClassifier,0.39325031106230607,0.4326530612244898,0.03555125680591321,gini,2,2,random,,,0.34046890927624873,15,
345,KNeighborsClassifier,0.4108003257587157,0.4326530612244898,0.01988725342065394,,,,,,,0.3843017329255861,,6
340,KNeighborsClassifier,0.4003846439046529,0.43149284253578735,0.019890142833062303,,,,,,,0.3761467889908257,,1
3,AdaBoostClassifier,0.4081533051861671,0.4306122448979592,0.024619021482448405,gini,,1,best,,,0.37716615698267075,7,
286,AdaBoostClassifier,0.37037290081601765,0.4306122448979592,0.06116257854403407,gini,3,3,random,,,0.2762487257900102,13,
301,AdaBoostClassifier,0.401007097797938,0.4306122448979592,0.02769463740706571,gini,3,4,random,,,0.3659531090723751,11,
12,AdaBoostClassifier,0.41508376060129304,0.43047034764826175,0.012981292259027336,gini,,1,random,,,0.399592252803262,9,
269,AdaBoostClassifier,0.3899950327028618,0.4294478527607362,0.046560506348081836,gini,3,2,random,,,0.30988786952089703,11,
302,AdaBoostClassifier,0.3777188236695027,0.4284253578732106,0.03457677369225631,gini,3,4,random,,,0.34049079754601225,13,
270,AdaBoostClassifier,0.37262657195108206,0.4284253578732106,0.035071937729557405,gini,3,2,random,,,0.33741080530071355,13,
9,AdaBoostClassifier,0.42179678700620415,0.42813455657492355,0.007262882130934908,gini,,1,random,,,0.40797546012269936,3,
271,AdaBoostClassifier,0.40200374538288325,0.42653061224489797,0.014010680130463478,gini,3,2,random,,,0.3873598369011213,15,
223,AdaBoostClassifier,0.37834359274187523,0.4263803680981595,0.026274203684094572,gini,2,4,random,,,0.34658511722731905,15,
